shortener,prolonger,n,runs,L_mean,L_stdev,sum_inv_p_mean,sum_inv_p_stdev,ratio_to_loglog_mean,ratio_to_loglog_stdev,L_times_logn_over_n_mean,L_times_logn_over_n_stdev,wall_seconds_mean
S_adaptive_prime,P_block_product,1000,1,187.0,0.0,1.7141672233903524,0.0,0.8869541273201216,0.0,1.2917502371696596,0.0,0.003906291996827349
S_adaptive_prime,P_block_product,10000,1,1361.0,0.0,1.9532111435849588,0.0,0.8796953394352552,0.0,1.2535273246259584,0.0,0.039112957994802855
S_adaptive_prime,P_block_product,100000,1,10576.0,0.0,2.1370305298837606,0.0,0.8745882769419013,0.0,1.2176069971752512,0.0,0.6062507080059731
S_adaptive_prime,P_block_product,1000000,1,85003.0,0.0,2.2965330259739267,0.0,0.8746058715898707,0.0,1.1743598439586371,0.0,8.418037583003752
S_adaptive_prime,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.003187541995430365
S_adaptive_prime,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.04097533400636166
S_adaptive_prime,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,0.5688688330119476
S_adaptive_prime,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,7.733500333008124
S_adaptive_prime,P_interval_top,1000,1,201.0,0.0,1.1027125653633694,0.0,0.5705717900511248,0.0,1.3884588110754097,0.0,0.0009792920027393848
S_adaptive_prime,P_interval_top,10000,1,1436.0,0.0,1.0492754904755741,0.0,0.47257704922819294,0.0,1.32260487741578,0.0,0.01137537500471808
S_adaptive_prime,P_interval_top,100000,1,12314.0,0.0,1.2945737296942414,0.0,0.529809467761381,0.0,1.4177016417564339,0.0,0.16204995798761956
S_adaptive_prime,P_interval_top,1000000,1,95940.0,0.0,1.2432685698282469,0.0,0.47348328059588335,0.0,1.3254600829310925,0.0,2.1486329159961315
S_adaptive_prime,P_random,1000,10,191.8,9.019977827023745,1.0638188289369228,0.10316883494171426,0.5504471723477784,0.05338220373936292,1.3249074625087738,0.062307799450925114,0.0009110332990530879
S_adaptive_prime,P_random,10000,10,1351.2,74.38924653469748,1.0158431515271646,0.14691241709881503,0.4575196536896054,0.06616702400631908,1.2445011910614219,0.0685150280599414,0.01083000430080574
S_adaptive_prime,P_random,100000,10,10521.1,377.8850221959055,1.025037719954803,0.10195548535793829,0.4195007795908694,0.0417256894635121,1.2112864010949829,0.0435056209487008,0.16635055019869469
S_adaptive_prime,P_random,1000000,10,87775.5,5963.007282403737,1.0739906975022486,0.20374625058574547,0.4090159207137967,0.07759421051702187,1.2126633469805932,0.08238199006726668,2.2962563041975956
S_carrier_snipe,P_block_product,1000,1,272.0,0.0,1.9943728866892678,0.0,1.031939730924123,0.0,1.8789094358831413,0.0,0.0041670409991638735
S_carrier_snipe,P_block_product,10000,1,2225.0,0.0,2.253703222815416,0.0,1.0150322089306165,0.0,2.049300732764701,0.0,0.04801854200195521
S_carrier_snipe,P_block_product,100000,1,18789.0,0.0,2.4882189856146617,0.0,1.0183135546506303,0.0,2.163163565613256,0.0,0.7113534169911873
S_carrier_snipe,P_block_product,1000000,1,163369.0,0.0,2.6899626479300993,0.0,1.0244386210119372,0.0,2.2570261443440653,0.0,10.758712625000044
S_carrier_snipe,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.0036023749999003485
S_carrier_snipe,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.05722816700290423
S_carrier_snipe,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,1.5482012499996927
S_carrier_snipe,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,95.38421416700294
S_carrier_snipe,P_interval_top,1000,1,400.0,0.0,2.1142259828357917,0.0,1.0939547997276213,0.0,2.763102111592855,0.0,0.0012921659945277497
S_carrier_snipe,P_interval_top,10000,1,3783.0,0.0,2.4121913622433224,0.0,1.0864127547914177,0.0,3.4842717627185906,0.0,0.01565699999628123
S_carrier_snipe,P_interval_top,100000,1,36564.0,0.0,2.642366018081957,0.0,1.0813988431554287,0.0,4.209586067011714,0.0,0.20833220799977425
S_carrier_snipe,P_interval_top,1000000,1,356344.0,0.0,2.831165632198241,0.0,1.0782140110151162,0.0,4.923074294267221,0.0,2.7086812920024386
S_carrier_snipe,P_random,1000,10,364.6,45.376645975655805,1.9506743645004143,0.3500293680734093,1.009328993719304,0.18111418096183374,2.518567574716887,0.3134507657808399,0.0014048790006199851
S_carrier_snipe,P_random,10000,10,3418.1,272.3,2.260456019578014,0.21288203463357863,1.018073561556379,0.0958786940836988,3.148186442545179,0.2507975683289115,0.02041877910087351
S_carrier_snipe,P_random,100000,10,31923.7,4760.500247873116,2.41119075914644,0.3949246383431662,0.9867894454155615,0.16162448506958876,3.675351786660701,0.5480728452973548,0.5147955416992772
S_harmonic,P_block_product,1000,1,264.0,0.0,2.0276842258616146,0.0,1.0491758729774268,0.0,1.823647393651284,0.0,0.0067092500103171915
S_harmonic,P_block_product,10000,1,2269.0,0.0,2.371680241166019,0.0,1.0681671879851626,0.0,2.0898262304013957,0.0,0.10252945900720078
S_harmonic,P_block_product,100000,1,19264.0,0.0,2.6204008685690865,0.0,1.0724095180163642,0.0,2.217849961571865,0.0,1.7040425420127576
S_harmonic,P_block_product,1000000,1,168096.0,0.0,2.8203800796285563,0.0,1.074106468254312,0.0,2.3223320627515625,0.0,25.478488624998135
S_harmonic,P_heuristic_maxdeg,1000,1,229.0,0.0,1.9228247642908554,0.0,0.9949188956185898,0.0,1.5818759588869094,0.0,0.0055960420140763745
S_harmonic,P_heuristic_maxdeg,10000,1,2008.0,0.0,2.282971505756919,0.0,1.0282141796466218,0.0,1.8494363466928179,0.0,0.07193533300596755
S_harmonic,P_heuristic_maxdeg,100000,1,17938.0,0.0,2.540641292544945,0.0,1.0397675930699926,0.0,2.0651885699063595,0.0,1.245923333990504
S_harmonic,P_heuristic_maxdeg,1000000,1,163689.0,0.0,2.746452069064518,0.0,1.0459519103259123,0.0,2.261447107722614,0.0,18.655892541995854
S_harmonic,P_interval_top,1000,1,463.0,0.0,1.9874597512298071,0.0,1.0283626971640418,0.0,3.1982906941687292,0.0,0.00479149998864159
S_harmonic,P_interval_top,10000,1,4771.0,0.0,2.323451681936849,0.0,1.0464458093615963,0.0,4.394253391469838,0.0,0.06847304200346116
S_harmonic,P_interval_top,100000,1,48221.0,0.0,2.583621225592509,0.0,1.0573573022769975,0.0,5.551647788463295,0.0,1.1934942080115434
S_harmonic,P_interval_top,1000000,1,482671.0,0.0,2.7853123800771136,0.0,1.0607513736033938,0.0,6.668346296523175,0.0,19.469143708003685
S_harmonic,P_random,1000,10,415.5,8.902246907382429,1.966342190025714,0.009791605625494564,1.017435928869021,0.005066428119799384,2.8701723184170778,0.061494543069273336,0.0045394959000987
S_harmonic,P_random,10000,10,4250.7,93.91384349498215,2.3209976069915053,0.0028897419996133846,1.0453405329048575,0.0013014939923823867,3.9150393819159164,0.08649784642292867,0.06848915429873159
S_harmonic,P_random,100000,10,43169.7,254.88940739073485,2.576317229180677,0.000889887293783098,1.0543681125825661,0.0003641899280608126,4.970095384451253,0.029345227490999493,1.3035480874954373
S_pair_response,P_block_product,1000,1,187.0,0.0,1.7141672233903524,0.0,0.8869541273201216,0.0,1.2917502371696596,0.0,0.0033873749925987795
S_pair_response,P_block_product,10000,1,1361.0,0.0,1.9532111435849588,0.0,0.8796953394352552,0.0,1.2535273246259584,0.0,0.04554437499609776
S_pair_response,P_block_product,100000,1,10576.0,0.0,2.1370305298837606,0.0,0.8745882769419013,0.0,1.2176069971752512,0.0,1.0337644579994958
S_pair_response,P_block_product,1000000,1,85003.0,0.0,2.2965330259739267,0.0,0.8746058715898707,0.0,1.1743598439586371,0.0,37.381733959002304
S_pair_response,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.003189416995155625
S_pair_response,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.04751791700255126
S_pair_response,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,1.0133425000094576
S_pair_response,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,36.50486637499125
S_pair_response,P_interval_top,1000,1,174.0,0.0,0.6496126227511269,0.0,0.33612624780491057,0.0,1.2019494185428918,0.0,0.0009987079974962398
S_pair_response,P_interval_top,10000,1,1253.0,0.0,0.5750257027040544,0.0,0.2589824619758199,0.0,1.1540556486086158,0.0,0.014825000005657785
S_pair_response,P_interval_top,100000,1,10006.0,0.0,0.724072285102724,0.0,0.29632947370378543,0.0,1.1519833220249212,0.0,0.4147957080131164
S_pair_response,P_interval_top,1000000,1,81704.0,0.0,0.7186039801700008,0.0,0.273671335572454,0.0,1.128782474627913,0.0,20.709787165993475
S_pair_response,P_random,1000,10,180.5,8.00312438988674,0.7994846539767279,0.2430253697435344,0.41367388426157037,0.12574756522948669,1.2468498278562756,0.0552836247525908,0.0010271251027006655
S_pair_response,P_random,10000,10,1325.3,72.56727912771706,0.7942733743007488,0.23048217061200044,0.35772813804832293,0.10380551635506219,1.2206464094980036,0.06683693406344775,0.015816866702516565
S_pair_response,P_random,100000,10,10222.0,306.071560260015,0.7957855249523139,0.2694134078863323,0.32567840344387,0.11025851287261178,1.1768512410292566,0.03523779060220697,0.45245483740145576
S_pair_response,P_random,1000000,10,83909.0,5549.788518493295,0.7736339755877372,0.317688941015864,0.2946288208607419,0.12098785865873164,1.1592456754082243,0.07667316187171302,22.404740512194984
S_primorial_anchor,P_block_product,1000,1,208.0,0.0,2.067345536938384,0.0,1.0696976535099536,0.0,1.4368130980282845,0.0,0.003944791998947039
S_primorial_anchor,P_block_product,10000,1,1542.0,0.0,2.3753387259794128,0.0,1.0698149115558104,0.0,1.4202344853587276,0.0,0.04892616700090002
S_primorial_anchor,P_block_product,100000,1,11652.0,0.0,2.600902597393959,0.0,1.0644297726866012,0.0,1.3414860751783309,0.0,0.7542106670007342
S_primorial_anchor,P_block_product,1000000,1,92491.0,0.0,2.784117019534826,0.0,1.0602961354957212,0.0,1.2778103870166735,0.0,11.015378541997052
S_primorial_anchor,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.0032257920101983473
S_primorial_anchor,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.040766958001768216
S_primorial_anchor,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,0.5908799590106355
S_primorial_anchor,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,7.923455707990797
S_primorial_anchor,P_interval_top,1000,1,174.0,0.0,0.7008245984094156,0.0,0.3626246387194783,0.0,1.2019494185428918,0.0,0.0009798329992918298
S_primorial_anchor,P_interval_top,10000,1,1258.0,0.0,0.5839413611146015,0.0,0.2629979332050899,0.0,1.158660818794604,0.0,0.01139145900378935
S_primorial_anchor,P_interval_top,100000,1,9985.0,0.0,0.7796706836288083,0.0,0.3190833402900069,0.0,1.1495656076772773,0.0,0.1478544589917874
S_primorial_anchor,P_interval_top,1000000,1,103077.0,0.0,1.7040580642228667,0.0,0.6489691947135573,0.0,1.4240613817832835,0.0,2.2058939159906004
S_primorial_anchor,P_random,1000,10,177.6,6.6513156593263565,0.8219546277258983,0.26489439762563105,0.42530042552642044,0.1370631616752877,1.2268173375472275,0.04594566085788818,0.000906741498329211
S_primorial_anchor,P_random,10000,10,1317.9,53.53587582173285,0.8250927365277526,0.24664695485744886,0.3716086902889275,0.11108587895712967,1.2138307576227412,0.049308363843001,0.010934699997596909
S_primorial_anchor,P_random,100000,10,10188.3,324.70942394701143,0.8292335205624901,0.28909890289730344,0.3393671291961668,0.11831488030472803,1.1729713851475618,0.03738355395675362,0.15978158750222066
S_primorial_anchor,P_random,1000000,10,99702.6,1411.3067845085986,1.7222328203764885,0.03377139313840715,0.6558908232148198,0.012861412571280002,1.377442322956489,0.019497923781905128,2.4166177334016536
S_slp_odd,P_block_product,1000,1,187.0,0.0,1.7141672233903524,0.0,0.8869541273201216,0.0,1.2917502371696596,0.0,0.004120166995562613
S_slp_odd,P_block_product,10000,1,1361.0,0.0,1.9532111435849588,0.0,0.8796953394352552,0.0,1.2535273246259584,0.0,0.049746250006137416
S_slp_odd,P_block_product,100000,1,10576.0,0.0,2.1370305298837606,0.0,0.8745882769419013,0.0,1.2176069971752512,0.0,0.7430926250090124
S_slp_odd,P_block_product,1000000,1,85003.0,0.0,2.2965330259739267,0.0,0.8746058715898707,0.0,1.1743598439586371,0.0,10.14587149998988
S_slp_odd,P_heuristic_maxdeg,1000,1,168.0,0.0,1.2335831151186951,0.0,0.6382875721908388,0.0,1.160502886868999,0.0,0.0034404999896651134
S_slp_odd,P_heuristic_maxdeg,10000,1,1229.0,0.0,1.3763583326301014,0.0,0.6198899768640983,0.0,1.131950831715873,0.0,0.0405349579959875
S_slp_odd,P_heuristic_maxdeg,100000,1,9592.0,0.0,1.487436739148394,0.0,0.6087394244305128,0.0,1.1043198105999443,0.0,0.5658900419948623
S_slp_odd,P_heuristic_maxdeg,1000000,1,78498.0,0.0,1.5784669751768943,0.0,0.6011393996892114,0.0,1.0844899477790797,0.0,7.554961707995972
S_slp_odd,P_interval_top,1000,1,201.0,0.0,1.1027125653633694,0.0,0.5705717900511248,0.0,1.3884588110754097,0.0,0.0009843750012805685
S_slp_odd,P_interval_top,10000,1,1436.0,0.0,1.0492754904755741,0.0,0.47257704922819294,0.0,1.32260487741578,0.0,0.011323333004838787
S_slp_odd,P_interval_top,100000,1,12314.0,0.0,1.2945737296942414,0.0,0.529809467761381,0.0,1.4177016417564339,0.0,0.15623179099929985
S_slp_odd,P_interval_top,1000000,1,95940.0,0.0,1.2432685698282469,0.0,0.47348328059588335,0.0,1.3254600829310925,0.0,2.126280875003431
S_slp_odd,P_random,1000,10,191.8,9.019977827023745,1.0638188289369228,0.10316883494171426,0.5504471723477784,0.05338220373936292,1.3249074625087738,0.062307799450925114,0.0009587751977960579
S_slp_odd,P_random,10000,10,1351.2,74.38924653469748,1.0158431515271646,0.14691241709881503,0.4575196536896054,0.06616702400631908,1.2445011910614219,0.0685150280599414,0.01093104590108851
S_slp_odd,P_random,100000,10,10521.1,377.8850221959055,1.025037719954803,0.10195548535793829,0.4195007795908694,0.0417256894635121,1.2112864010949829,0.0435056209487008,0.1655170749028912
S_slp_odd,P_random,1000000,10,87775.5,5963.007282403737,1.0739906975022486,0.20374625058574547,0.4090159207137967,0.07759421051702187,1.2126633469805932,0.08238199006726668,2.2893457667014445
