N,T_star,edge_count,exact_elapsed_seconds,exact_positions,g_exact,g_lower,h,max_degree__highest_degree_vertex__max,max_degree__highest_degree_vertex__mean,max_degree__highest_degree_vertex__min,max_degree__random__max,max_degree__random__mean,max_degree__random__min,max_degree__smallest_neighborhood__max,max_degree__smallest_neighborhood__mean,max_degree__smallest_neighborhood__min,min_edge_best_vertex__highest_degree_vertex__max,min_edge_best_vertex__highest_degree_vertex__mean,min_edge_best_vertex__highest_degree_vertex__min,min_edge_best_vertex__random__max,min_edge_best_vertex__random__mean,min_edge_best_vertex__random__min,min_edge_best_vertex__smallest_neighborhood__max,min_edge_best_vertex__smallest_neighborhood__mean,min_edge_best_vertex__smallest_neighborhood__min,principal_variation,random_high_degree__highest_degree_vertex__max,random_high_degree__highest_degree_vertex__mean,random_high_degree__highest_degree_vertex__min,random_high_degree__random__max,random_high_degree__random__mean,random_high_degree__random__min,random_high_degree__smallest_neighborhood__max,random_high_degree__smallest_neighborhood__mean,random_high_degree__smallest_neighborhood__min,tau_exact,tau_lower,vertex_count
4,1,4,0.0008718967437744141,9,0.5,0.5,3,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,"(('P', (0, 1, 2)), ('S', (0, 3)), ('P', (1, 2, 3)))",1,1.0,1,1,1.0,1,1,1.0,1,2,2.0,6
5,3,10,0.008723974227905273,65,0.75,0.8999999999999999,3,3,3.0,3,3,3.0,3,3,3.0,3,3,3.0,3,3,2.875,2,3,3.0,3,"(('P', (0, 1, 2)), ('S', (0, 3)), ('P', (1, 2, 3)), ('S', (1, 4)), ('P', (0, 2, 4)), ('S', (3, 4)))",3,3.0,3,3,2.875,2,3,3.0,3,4,3.3333333333333335,10
6,5,20,0.38948893547058105,1425,0.8333333333333334,1.0,3,5,5.0,5,5,4.375,4,5,5.0,5,4,4.0,4,5,4.375,4,5,5.0,5,"(('P', (0, 1, 2)), ('S', (0, 3)), ('P', (1, 2, 3)), ('S', (1, 4)), ('P', (0, 2, 4)), ('S', (2, 5)), ('P', (2, 3, 4)), ('S', (0, 5)), ('P', (1, 3, 5)), ('S', (4, 5)))",5,4.625,4,5,4.875,4,5,5.0,5,6,5.0,15
7,,35,,,,,3,6,6.0,6,7,6.25,6,7,7.0,7,5,5.0,5,7,6.125,6,7,7.0,7,(),7,6.375,6,7,6.75,6,7,7.0,7,9,7.0,21
8,,56,,,,,3,9,9.0,9,10,9.0,8,10,10.0,10,7,7.0,7,10,9.0,8,10,10.0,10,(),10,9.125,8,10,9.25,9,10,10.0,10,12,9.333333333333334,28
9,,84,,,,,3,10,10.0,10,13,11.625,10,13,13.0,13,10,10.0,10,13,11.875,11,14,14.0,14,(),11,10.375,9,13,12.0,11,14,13.625,13,16,12.0,36
10,,120,,,,,3,13,13.0,13,16,14.625,14,17,17.0,17,12,12.0,12,16,15.25,14,18,18.0,18,(),14,12.875,12,16,15.375,15,18,18.0,18,20,15.0,45
11,,165,,,,,3,15,15.0,15,20,18.625,17,21,21.0,21,14,14.0,14,19,18.25,17,22,22.0,22,(),17,16.0,15,21,18.875,18,22,21.75,20,25,18.333333333333332,55
12,,220,,,,,3,18,18.0,18,23,22.125,21,24,24.0,24,17,17.0,17,23,22.0,21,27,27.0,27,(),19,18.0,17,24,22.25,21,27,26.75,26,30,22.0,66
5,2,5,0.0018477439880371094,16,0.6666666666666666,0.8,4,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,"(('P', (0, 1, 2, 3)), ('S', (0, 1, 4)), ('P', (0, 2, 3, 4)), ('S', (1, 2, 4)))",2,2.0,2,2,2.0,2,2,2.0,2,3,2.5,10
6,4,15,0.6970982551574707,1542,0.6666666666666666,0.8,4,4,4.0,4,4,4.0,4,4,4.0,4,5,5.0,5,4,4.0,4,4,4.0,4,"(('P', (0, 1, 2, 3)), ('S', (0, 1, 4)), ('P', (0, 2, 3, 4)), ('S', (0, 2, 5)), ('P', (1, 2, 3, 4)), ('S', (1, 3, 5)), ('P', (0, 3, 4, 5)), ('S', (2, 4, 5)))",5,4.5,4,5,4.25,4,5,4.375,4,6,5.0,20
7,,35,,,,,4,9,9.0,9,8,7.75,7,8,8.0,8,9,9.0,9,10,8.75,8,8,8.0,8,(),9,8.75,8,9,8.75,8,9,8.625,8,12,8.75,35
8,,70,,,,,4,15,15.0,15,15,14.0,13,14,14.0,14,14,14.0,14,16,14.625,14,16,16.0,16,(),15,14.625,14,15,14.875,14,16,14.625,14,20,14.0,56
9,,126,,,,,4,21,21.0,21,24,22.75,22,22,22.0,22,22,22.0,22,25,23.125,21,25,25.0,25,(),25,22.625,21,24,22.5,21,24,23.625,23,30,21.0,84
10,,210,,,,,4,33,33.0,33,35,33.125,32,35,35.0,35,32,32.0,32,35,33.625,31,37,37.0,37,(),34,32.75,31,36,33.75,32,37,35.375,34,,30.0,120
6,2,6,0.004822969436645508,26,0.6666666666666666,0.6666666666666666,5,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,2,2.0,2,"(('P', (0, 1, 2, 3, 4)), ('S', (0, 1, 2, 5)), ('P', (0, 1, 3, 4, 5)), ('S', (2, 3, 4, 5)))",2,2.0,2,2,2.0,2,2,2.0,2,3,3.0,15
7,,21,,,,,5,6,6.0,6,6,5.875,5,6,6.0,6,6,6.0,6,6,5.75,5,6,6.0,6,(),7,6.125,6,7,6.125,6,6,6.0,6,7,7.0,35
8,,56,,,,,5,13,13.0,13,14,12.875,12,13,13.0,13,15,15.0,15,15,14.25,13,13,13.0,13,(),15,14.125,14,14,13.5,13,14,13.125,13,14,14.0,70
